STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,ord_brth,Birth order,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AL,Albania,2014,,35760,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AL,Albania,2016,,31733,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AL,Albania,2017,,30869,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AL,Albania,2018,,28934,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AL,Albania,2019,,28561,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AL,Albania,2020,,28075,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AL,Albania,2021,,27211,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AL,Albania,2022,,24688,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AL,Albania,2023,,23617,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AM,Armenia,2014,,43031,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AM,Armenia,2015,,41763,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AM,Armenia,2016,,40592,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AM,Armenia,2017,,37700,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AM,Armenia,2018,,36574,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AM,Armenia,2019,,36041,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AM,Armenia,2020,,36353,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AM,Armenia,2022,,36375,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AM,Armenia,2023,,36590,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AT,Austria,2014,,81722,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AT,Austria,2015,,84381,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AT,Austria,2016,,87675,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AT,Austria,2017,,87633,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AT,Austria,2018,,85535,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AT,Austria,2019,,84952,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AT,Austria,2020,,83603,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AT,Austria,2021,,86078,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AT,Austria,2022,,82627,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AT,Austria,2023,,77605,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AZ,Azerbaijan,2014,,170503,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AZ,Azerbaijan,2015,,166210,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AZ,Azerbaijan,2016,,159464,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AZ,Azerbaijan,2017,,144041,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AZ,Azerbaijan,2018,,138982,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AZ,Azerbaijan,2019,,141179,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AZ,Azerbaijan,2020,,126571,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AZ,Azerbaijan,2021,,112284,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AZ,Azerbaijan,2022,,122846,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,AZ,Azerbaijan,2023,,112620,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BE,Belgium,2014,,125014,,,,,
dataflow,ESTAT:DEMO_FORDAGEC$DEFAULTVIEW(1.0),Live births by mother's age and birth order,A,Annual,NR,Number,TOTAL,Total,TOTAL,Total,BE,Belgium,2015,,122274,,,,,
