country,year,age_group_5,births,population
Austria,2015,15-19,1698,224066
Austria,2015,20-24,11023,268689
Austria,2015,25-29,25040,281392
Austria,2015,30-34,28912,290896
Austria,2015,35-39,14284,271576
Austria,2015,40-44,3191,307398
Austria,2015,45-49,201,351269
Austria,2016,15-19,1585,221893
Austria,2016,20-24,11422,270022
Austria,2016,25-29,25867,288182
Austria,2016,30-34,29844,294734
Austria,2016,35-39,15434,275800
Austria,2016,40-44,3291,300846
Austria,2016,45-49,198,347035
Austria,2017,15-19,1465,216882
Austria,2017,20-24,10760,267873
Austria,2017,25-29,26134,292778
Austria,2017,30-34,29782,295555
Austria,2017,35-39,16048,283403
Austria,2017,40-44,3216,293063
Austria,2017,45-49,202,341494
Austria,2018,15-19,1169,214236
Austria,2018,20-24,9970,263613
Austria,2018,25-29,25316,294826
Austria,2018,30-34,29234,295061
Austria,2018,35-39,16220,291611
Austria,2018,40-44,3345,286773
Austria,2018,45-49,250,334155
Austria,2019,15-19,1106,212135
Austria,2019,20-24,9171,257454
Austria,2019,25-29,24621,294888
Austria,2019,30-34,29550,296545
Austria,2019,35-39,16770,297410
Austria,2019,40-44,3460,283391
Austria,2019,45-49,246,323491
Austria,2020,15-19,1064,212297
Austria,2020,20-24,8486,251570
Austria,2020,25-29,24575,293260
Austria,2020,30-34,29526,298547
Austria,2020,35-39,16357,302843
Austria,2020,40-44,3339,281274
Austria,2020,45-49,240,313946
Austria,2021,15-19,881,211409
Austria,2021,20-24,7966,245840
Austria,2021,25-29,24756,290140
Austria,2021,30-34,31025,301001
Austria,2021,35-39,17602,304230
Austria,2021,40-44,3639,283755
Austria,2021,45-49,191,306914
Austria,2022,15-19,843,213154
Austria,2022,20-24,7750,240358
Austria,2022,25-29,23717,286938
Austria,2022,30-34,29977,303595
Austria,2022,35-39,16349,303861
Austria,2022,40-44,3711,290369
Austria,2022,45-49,260,298717
Austria,2023,15-19,890,216466
Austria,2023,20-24,7332,242216
Austria,2023,25-29,21453,287317
Austria,2023,30-34,28297,309977
Austria,2023,35-39,15849,308402
Austria,2023,40-44,3500,302907
Austria,2023,45-49,250,295647
Belgium,2015,15-19,2006,307559
