country,year,age_group_5,deaths,population
Austria,2011,0-4,337,393186
Austria,2011,10-14,35,436195
Austria,2011,15-19,173,495028
Austria,2011,20-24,271,523217
Austria,2011,25-29,268,555080
Austria,2011,30-34,296,529870
Austria,2011,35-39,406,580724
Austria,2011,40-44,787,688686
Austria,2011,45-49,1466,705726
Austria,2011,5-9,36,405025
Austria,2011,50-54,2172,611511
Austria,2011,55-59,2838,500445
Austria,2011,60-64,4341,472872
Austria,2011,65-69,5454,421955
Austria,2011,70-74,7288,382379
Austria,2011,75-79,8679,264395
Austria,2011,80-84,13404,217751
Austria,2011,85+,28228,191119
Austria,2012,0-4,298,393699
Austria,2012,10-14,51,424184
Austria,2012,15-19,154,488368
Austria,2012,20-24,215,529484
Austria,2012,25-29,284,552932
Austria,2012,30-34,274,541738
Austria,2012,35-39,402,562653
Austria,2012,40-44,745,672785
Austria,2012,45-49,1407,710513
Austria,2012,5-9,34,406251
Austria,2012,50-54,2171,630070
Austria,2012,55-59,2817,520503
Austria,2012,60-64,4280,478584
Austria,2012,65-69,5441,402912
Austria,2012,70-74,8311,414709
Austria,2012,75-79,8509,261787
Austria,2012,80-84,13397,217776
Austria,2012,85+,30646,199173
Austria,2013,0-4,299,396879
Austria,2013,10-14,47,418845
Austria,2013,15-19,124,480555
Austria,2013,20-24,219,538665
Austria,2013,25-29,230,552540
Austria,2013,30-34,272,556959
Austria,2013,35-39,393,549234
Austria,2013,40-44,677,653499
Austria,2013,45-49,1413,711980
Austria,2013,5-9,36,403639
Austria,2013,50-54,2177,650630
Austria,2013,55-59,2910,538401
Austria,2013,60-64,4121,472777
Austria,2013,65-69,5543,412527
Austria,2013,70-74,8308,431900
Austria,2013,75-79,8422,260463
Austria,2013,80-84,13217,218667
Austria,2013,85+,31118,203700
Austria,2014,0-4,296,399504
Austria,2014,10-14,42,414793
Austria,2014,15-19,145,470104
Austria,2014,20-24,197,544207
Austria,2014,25-29,235,559979
Austria,2014,30-34,311,570842
Austria,2014,35-39,360,544970
Austria,2014,40-44,716,629373
Austria,2014,45-49,1316,711505
Austria,2014,5-9,38,404547
Austria,2014,50-54,2135,673175
Austria,2014,55-59,2949,558076
Austria,2014,60-64,3997,470053
Austria,2014,65-69,5571,420420
Austria,2014,70-74,8316,443425
Austria,2014,75-79,8333,266641
Austria,2014,80-84,12456,217207
Austria,2014,85+,30839,208965
Austria,2015,0-4,303,406003
Austria,2015,10-14,45,416112
Austria,2015,15-19,126,460918
Austria,2015,20-24,231,549119
Austria,2015,25-29,220,570027
Austria,2015,30-34,282,585480
Austria,2015,35-39,413,545581
Austria,2015,40-44,681,610222
Austria,2015,45-49,1258,707317
Austria,2015,5-9,25,403898
Austria,2015,50-54,2120,691590
Austria,2015,55-59,3042,580836
Austria,2015,60-64,4030,473895
Austria,2015,65-69,5799,424860
Austria,2015,70-74,8132,426876
Austria,2015,75-79,9785,302378
Austria,2015,80-84,12778,214971
Austria,2015,85+,33803,214843
Austria,2016,0-4,319,416123
Austria,2016,10-14,33,419623
Austria,2016,15-19,138,462738
Austria,2016,20-24,197,556773
Austria,2016,25-29,226,587787
Austria,2016,30-34,308,596287
Austria,2016,35-39,369,556815
Austria,2016,40-44,616,598003
Austria,2016,45-49,1202,697343
Austria,2016,5-9,34,411101
Austria,2016,50-54,2016,705366
Austria,2016,55-59,3064,603249
Austria,2016,60-64,3977,484296
Austria,2016,65-69,5932,446948
Austria,2016,70-74,7448,388551
Austria,2016,75-79,10377,339353
Austria,2016,80-84,11810,211412
Austria,2016,85+,32603,218703
Austria,2017,0-4,314,425651
Austria,2017,10-14,40,423450
Austria,2017,15-19,125,453985
Austria,2017,20-24,174,553007
Austria,2017,25-29,245,598504
Austria,2017,30-34,275,598686
Austria,2017,35-39,389,572365
Austria,2017,40-44,589,582792
Austria,2017,45-49,1117,684053
Austria,2017,5-9,26,414639
Austria,2017,50-54,2049,712250
Austria,2017,55-59,3052,622986
Austria,2017,60-64,4009,504980
Austria,2017,65-69,5601,452914
Austria,2017,70-74,7469,370922
Austria,2017,75-79,11070,368181
Austria,2017,80-84,11944,210561
Austria,2017,85+,34782,222939
Austria,2018,0-4,274,432008
Austria,2018,10-14,33,422091
Austria,2018,15-19,120,446497
Austria,2018,20-24,189,543335
Austria,2018,25-29,241,603826
Austria,2018,30-34,304,598813
Austria,2018,35-39,403,588265
Austria,2018,40-44,636,571243
Austria,2018,45-49,1109,666736
Austria,2018,5-9,31,418903
Austria,2018,50-54,1994,715390
Austria,2018,55-59,3249,644612
Austria,2018,60-64,4069,523556
Austria,2018,65-69,5608,448191
Austria,2018,70-74,7555,380051
Austria,2018,75-79,11597,383384
Austria,2018,80-84,11784,210513
Austria,2018,85+,34779,224853
Austria,2019,0-4,315,435133
Austria,2019,10-14,41,423273
Austria,2019,15-19,116,439004
Austria,2019,20-24,185,530763
Austria,2019,25-29,241,603708
Austria,2019,30-34,321,603166
Austria,2019,35-39,396,599958
Austria,2019,40-44,568,566656
Austria,2019,45-49,1092,642560
Austria,2019,5-9,31,420286
Austria,2019,50-54,1870,715583
Austria,2019,55-59,3021,666885
Austria,2019,60-64,4094,543241
Austria,2019,65-69,5502,446045
Austria,2019,70-74,7473,387425
Austria,2019,75-79,11474,392572
Austria,2019,80-84,12027,216579
Austria,2019,85+,34619,225938
Austria,2020,0-4,312,435835
Austria,2020,10-14,38,421998
Austria,2020,15-19,122,437855
Austria,2020,20-24,167,517770
Austria,2020,25-29,196,601402
Austria,2020,30-34,319,607628
Austria,2020,35-39,406,610304
Austria,2020,40-44,615,564441
Austria,2020,45-49,963,622453
Austria,2020,5-9,27,425227
Austria,2020,50-54,1915,711404
Austria,2020,55-59,3225,685485
Austria,2020,60-64,4492,565635
Austria,2020,65-69,5689,450381
Austria,2020,70-74,8284,391654
Austria,2020,75-79,12235,377545
Austria,2020,80-84,14881,247722
Austria,2020,85+,37713,226325
Austria,2021,0-4,280,433755
Austria,2021,10-14,29,423433
Austria,2021,15-19,131,435249
Austria,2021,20-24,195,506733
Austria,2021,25-29,229,595462
Austria,2021,30-34,327,613499
Austria,2021,35-39,456,613986
Austria,2021,40-44,609,571135
Austria,2021,45-49,1043,608247
Austria,2021,5-9,25,428300
Austria,2021,50-54,2012,700665
Austria,2021,55-59,3266,698683
Austria,2021,60-64,4859,587230
Austria,2021,65-69,6159,460658
Austria,2021,70-74,8850,411513
Austria,2021,75-79,11266,342011
Austria,2021,80-84,15924,278245
Austria,2021,85+,36302,223860
Austria,2022,0-4,250,431785
Austria,2022,10-14,46,424628
Austria,2022,15-19,139,439205
Austria,2022,20-24,194,497571
Austria,2022,25-29,249,591572
Austria,2022,30-34,310,621628
Austria,2022,35-39,456,615005
Austria,2022,40-44,620,585126
Austria,2022,45-49,954,592377
Austria,2022,5-9,35,435176
Austria,2022,50-54,1797,686858
Austria,2022,55-59,3193,705784
Austria,2022,60-64,4896,606524
Austria,2022,65-69,6205,479796
Austria,2022,70-74,8338,416222
Austria,2022,75-79,11054,325458
Austria,2022,80-84,17131,300886
Austria,2022,85+,37465,223328
Austria,2023,0-4,254,431473
Austria,2023,10-14,42,435916
Austria,2023,15-19,162,446517
Austria,2023,20-24,188,502389
Austria,2023,25-29,223,592713
Austria,2023,30-34,315,635353
Austria,2023,35-39,466,623286
Austria,2023,40-44,620,607639
Austria,2023,45-49,980,585445
Austria,2023,5-9,32,447655
Austria,2023,50-54,1715,673292
Austria,2023,55-59,3007,711615
Austria,2023,60-64,4741,630776
Austria,2023,65-69,5913,499991
Austria,2023,70-74,8004,413700
Austria,2023,75-79,10840,333298
Austria,2023,80-84,17203,311280
Austria,2023,85+,35055,222434
Belgium,2011,0-4,546,645512
Belgium,2011,10-14,64,614460
Belgium,2011,15-19,205,649018
Belgium,2011,20-24,339,684094
Belgium,2011,25-29,428,700373
Belgium,2011,30-34,485,722935
Belgium,2011,35-39,658,741202
Belgium,2011,40-44,1106,789891
Belgium,2011,45-49,1886,828165
Belgium,2011,5-9,69,607325
Belgium,2011,50-54,2981,781240
Belgium,2011,55-59,4424,702335
Belgium,2011,60-64,6004,650906
Belgium,2011,65-69,6603,480200
Belgium,2011,70-74,9051,448375
Belgium,2011,75-79,13675,401594
Belgium,2011,80-84,19174,304788
Belgium,2011,85+,36594,248225
Belgium,2012,0-4,591,650440
Belgium,2012,10-14,75,614155
Belgium,2012,15-19,191,642314
Belgium,2012,20-24,307,695080
Belgium,2012,25-29,345,701310
Belgium,2012,30-34,474,731968
Belgium,2012,35-39,650,729589
Belgium,2012,40-44,1065,786663
Belgium,2012,45-49,1802,826596
Belgium,2012,5-9,65,616275
Belgium,2012,50-54,3097,792169
Belgium,2012,55-59,4395,715866
Belgium,2012,60-64,5963,648725
Belgium,2012,65-69,7188,522162
Belgium,2012,70-74,9103,433413
Belgium,2012,75-79,13499,396646
Belgium,2012,80-84,19885,312304
Belgium,2012,85+,40381,260214
Belgium,2013,0-4,547,652368
Belgium,2013,10-14,48,611305
Belgium,2013,15-19,166,635280
Belgium,2013,20-24,302,703207
Belgium,2013,25-29,384,704204
Belgium,2013,30-34,416,737788
Belgium,2013,35-39,666,723159
Belgium,2013,40-44,1063,783980
Belgium,2013,45-49,1775,820548
Belgium,2013,5-9,57,627941
Belgium,2013,50-54,2908,800063
Belgium,2013,55-59,4359,726692
Belgium,2013,60-64,5897,651981
Belgium,2013,65-69,7621,555370
Belgium,2013,70-74,8865,423593
Belgium,2013,75-79,13411,393422
Belgium,2013,80-84,19640,318451
Belgium,2013,85+,41209,268622
Belgium,2014,0-4,512,648331
Belgium,2014,10-14,65,611000
Belgium,2014,15-19,178,629626
Belgium,2014,20-24,297,701351
Belgium,2014,25-29,332,709177
Belgium,2014,30-34,449,736260
Belgium,2014,35-39,594,721704
Belgium,2014,40-44,1033,775999
Belgium,2014,45-49,1658,809626
Belgium,2014,5-9,44,640984
Belgium,2014,50-54,2766,808195
Belgium,2014,55-59,4214,739423
Belgium,2014,60-64,5545,654989
Belgium,2014,65-69,7652,578204
Belgium,2014,70-74,8292,422207
Belgium,2014,75-79,12446,395867
Belgium,2014,80-84,18575,320754
Belgium,2014,85+,40103,277143
Belgium,2015,0-4,486,644413
Belgium,2015,10-14,58,614953
Belgium,2015,15-19,143,628388
Belgium,2015,20-24,300,695568
Belgium,2015,25-29,312,716082
Belgium,2015,30-34,442,733730
Belgium,2015,35-39,608,727252
Belgium,2015,40-44,966,765155
Belgium,2015,45-49,1658,796802
Belgium,2015,5-9,58,651380
Belgium,2015,50-54,2696,816282
Belgium,2015,55-59,4341,753004
Belgium,2015,60-64,5997,663321
Belgium,2015,65-69,7798,594460
Belgium,2015,70-74,8513,427869
Belgium,2015,75-79,12963,397254
Belgium,2015,80-84,19180,322955
Belgium,2015,85+,44022,288406
Belgium,2016,0-4,464,638176
Belgium,2016,10-14,43,620458
Belgium,2016,15-19,151,634837
Belgium,2016,20-24,265,691260
Belgium,2016,25-29,356,731621
Belgium,2016,30-34,456,730150
Belgium,2016,35-39,601,740377
Belgium,2016,40-44,950,750305
Belgium,2016,45-49,1577,791274
Belgium,2016,5-9,64,662708
Belgium,2016,50-54,2666,819885
Belgium,2016,55-59,4006,763475
Belgium,2016,60-64,5862,673689
Belgium,2016,65-69,7799,611320
Belgium,2016,70-74,8820,440336
Belgium,2016,75-79,12328,392664
Belgium,2016,80-84,18073,319074
Belgium,2016,85+,43616,299508
Belgium,2017,0-4,513,631137
Belgium,2017,10-14,67,629697
Belgium,2017,15-19,150,632988
Belgium,2017,20-24,264,681140
Belgium,2017,25-29,323,738490
Belgium,2017,30-34,425,727461
Belgium,2017,35-39,630,746788
Belgium,2017,40-44,893,737199
Belgium,2017,45-49,1544,786509
Belgium,2017,5-9,60,666986
Belgium,2017,50-54,2462,817724
Belgium,2017,55-59,3927,773690
Belgium,2017,60-64,5764,686675
Belgium,2017,65-69,7728,609072
Belgium,2017,70-74,9482,478946
Belgium,2017,75-79,11929,379378
Belgium,2017,80-84,17647,316652
Belgium,2017,85+,45858,311195
Belgium,2018,0-4,523,622862
Belgium,2018,10-14,55,641830
Belgium,2018,15-19,131,630153
Belgium,2018,20-24,252,673462
Belgium,2018,25-29,299,744939
Belgium,2018,30-34,422,728549
Belgium,2018,35-39,618,751232
Belgium,2018,40-44,866,730309
Belgium,2018,45-49,1509,783682
Belgium,2018,5-9,54,669250
Belgium,2018,50-54,2428,811908
Belgium,2018,55-59,3903,782337
Belgium,2018,60-64,5813,697421
Belgium,2018,65-69,7707,612577
Belgium,2018,70-74,9920,509719
Belgium,2018,75-79,11667,371582
Belgium,2018,80-84,17669,315977
Belgium,2018,85+,46857,320800
Belgium,2019,0-4,493,616176
Belgium,2019,10-14,55,656805
Belgium,2019,15-19,144,631502
Belgium,2019,20-24,227,670320
Belgium,2019,25-29,304,746547
Belgium,2019,30-34,405,736780
Belgium,2019,35-39,574,751784
Belgium,2019,40-44,854,731374
Belgium,2019,45-49,1448,777528
Belgium,2019,5-9,44,666585
Belgium,2019,50-54,2391,802929
Belgium,2019,55-59,3668,791327
Belgium,2019,60-64,5648,710403
Belgium,2019,65-69,7476,615632
Belgium,2019,70-74,10218,531538
Belgium,2019,75-79,11283,371320
Belgium,2019,80-84,16964,319385
Belgium,2019,85+,46587,327584
Belgium,2020,0-4,428,609407
Belgium,2020,10-14,64,668369
Belgium,2020,15-19,129,636442
Belgium,2020,20-24,224,672317
Belgium,2020,25-29,285,744436
Belgium,2020,30-34,421,747537
Belgium,2020,35-39,598,751879
Belgium,2020,40-44,881,738624
Belgium,2020,45-49,1489,768805
Belgium,2020,5-9,49,664338
Belgium,2020,50-54,2444,791520
Belgium,2020,55-59,4008,800140
Belgium,2020,60-64,6022,723984
Belgium,2020,65-69,8432,623529
Belgium,2020,70-74,11746,547046
Belgium,2020,75-79,13242,377305
Belgium,2020,80-84,20327,321649
Belgium,2020,85+,56107,335113
Belgium,2021,0-4,430,600245
Belgium,2021,10-14,49,678836
Belgium,2021,15-19,146,640531
Belgium,2021,20-24,230,673810
Belgium,2021,25-29,314,736597
Belgium,2021,30-34,417,759805
Belgium,2021,35-39,610,747556
Belgium,2021,40-44,944,751615
Belgium,2021,45-49,1442,754300
Belgium,2021,5-9,49,656356
Belgium,2021,50-54,2346,786620
Belgium,2021,55-59,3811,804220
Belgium,2021,60-64,5788,734898
Belgium,2021,65-69,8202,632807
Belgium,2021,70-74,11226,561511
Belgium,2021,75-79,12801,387471
Belgium,2021,80-84,17235,315676
Belgium,2021,85+,46291,331913
Belgium,2022,0-4,425,597468
Belgium,2022,10-14,50,684377
Belgium,2022,15-19,137,652920
Belgium,2022,20-24,242,677009
Belgium,2022,25-29,271,730914
Belgium,2022,30-34,431,769700
Belgium,2022,35-39,571,748342
Belgium,2022,40-44,938,760809
Belgium,2022,45-49,1353,743639
Belgium,2022,5-9,50,649806
Belgium,2022,50-54,2316,783787
Belgium,2022,55-59,3750,803330
Belgium,2022,60-64,5690,746040
Belgium,2022,65-69,8214,645152
Belgium,2022,70-74,10897,559271
Belgium,2022,75-79,13557,421356
Belgium,2022,80-84,16690,304828
Belgium,2022,85+,50842,338875
Belgium,2023,0-4,408,596811
Belgium,2023,10-14,61,693758
Belgium,2023,15-19,140,673609
Belgium,2023,20-24,202,685093
Belgium,2023,25-29,272,734020
Belgium,2023,30-34,364,786123
Belgium,2023,35-39,622,758411
Belgium,2023,40-44,889,772228
Belgium,2023,45-49,1362,742477
Belgium,2023,5-9,41,647951
Belgium,2023,50-54,2110,784693
Belgium,2023,55-59,3469,800053
Belgium,2023,60-64,5442,756681
Belgium,2023,65-69,7787,656784
Belgium,2023,70-74,10274,563450
Belgium,2023,75-79,13580,448986
Belgium,2023,80-84,15643,299071
Belgium,2023,85+,48645,342597
Croatia,2011,0-4,217,213100
Croatia,2011,10-14,25,237460
Croatia,2011,15-19,94,244336
Croatia,2011,20-24,137,262412
Croatia,2011,25-29,171,290549
Croatia,2011,30-34,217,294714
Croatia,2011,35-39,275,284184
Croatia,2011,40-44,473,289064
Croatia,2011,45-49,945,309028
Croatia,2011,5-9,23,204352
Croatia,2011,50-54,1701,321584
Croatia,2011,55-59,2657,310855
Croatia,2011,60-64,3415,267563
Croatia,2011,65-69,3836,204339
Croatia,2011,70-74,6273,213913
Croatia,2011,75-79,9188,175491
Croatia,2011,80-84,10097,106949
Croatia,2011,85+,11268,59963
Croatia,2012,0-4,184,212855
Croatia,2012,10-14,28,227947
Croatia,2012,15-19,68,243970
Croatia,2012,20-24,127,259373
Croatia,2012,25-29,150,285562
Croatia,2012,30-34,203,295318
Croatia,2012,35-39,290,284560
Croatia,2012,40-44,501,282890
Croatia,2012,45-49,916,306045
Croatia,2012,5-9,22,204365
Croatia,2012,50-54,1646,317266
Croatia,2012,55-59,2670,317481
Croatia,2012,60-64,3347,272997
